kp_hash,videoId,title,lengthSeconds,channelId,author,keywords,publish_date,thumbnail,official
4365dcfa4f382fed277699e9e534c7e1,S_U69cudRCo,【瑪格麗特／歌回精華】 Cover.瑪格麗特 「幾分之幾 You Complete Me」 ｜【台灣Vtuber精華】,255,UC0DGDzwqkmQ-iSo0CWL3zEw,加鹽黑糖,"加鹽黑糖, 台V烤肉MAN, 黑糖, 台V, 台灣Vtuber, 台灣vtuber, 烤肉, 精華, 台v, 虛擬實況主, 虛擬直播主, vtuber, 中文字幕, 台V精華, 中文精華, 介紹, 烤肉man, 加鹽黑糖烤肉, 黑糖烤肉, 黑糖精華, 實況精華, 台v精華, 烤肉精華, Vtuber精華, Vtuber烤肉, 瑪格麗特．溫特斯, 瑪格麗特 V, 瑪格麗特 v, 瑪格麗特 烤肉, 瑪格麗特 精華, 瑪格 烤肉, 瑪格 精華, 瑪麗 精華, 瑪麗 烤肉, 瑪格麗特 台v, 瑪麗初配信, 初配信, 瑪格麗特初配信, 瑪格麗特.溫特斯",2021-10-24,https://i.ytimg.com/vi/S_U69cudRCo/mqdefault.jpg,FALSE
d6ec823742676c7cfe125c2876767514,02tzlzzqBEk,黑糖終於被瑪莉吃下去了嗎!!??好難吃QQ【Vtuber精華】【瑪格麗特．溫特斯】,76,UC0DGDzwqkmQ-iSo0CWL3zEw,加鹽黑糖,"加鹽黑糖, 台V烤肉MAN, 黑糖, 台V, 台灣Vtuber, 台灣vtuber, 烤肉, 精華, 台v, 虛擬實況主, 虛擬直播主, vtuber, 中文字幕, 台V精華, 中文精華, 介紹, 烤肉man, 加鹽黑糖烤肉, 黑糖烤肉, 黑糖精華, 實況精華, 台v精華, 烤肉精華, Vtuber精華, Vtuber烤肉, 瑪格麗特．溫特斯, 瑪格麗特 V, 瑪格麗特 v, 瑪格麗特 烤肉, 瑪格麗特 精華, 瑪格 烤肉, 瑪格 精華, 瑪麗 精華, 瑪麗 烤肉, 瑪格麗特 台v, 瑪麗初配信, 初配信, 瑪格麗特初配信, 瑪格麗特.溫特斯",2021-09-13,https://i.ytimg.com/vi/02tzlzzqBEk/mqdefault.jpg,FALSE
37374b4d2e3ab2ae02711b690322ef18,eErhLlxIXW8,今晚我想要來點.....瑪菲!!!!【Vtuber精華】【瑪格麗特．溫特斯】,35,UC0DGDzwqkmQ-iSo0CWL3zEw,加鹽黑糖,"加鹽黑糖, 台V烤肉MAN, 黑糖, 台V, 台灣Vtuber, 台灣vtuber, 烤肉, 精華, 台v, 虛擬實況主, 虛擬直播主, vtuber, 中文字幕, 台V精華, 中文精華, 介紹, 烤肉man, 加鹽黑糖烤肉, 黑糖烤肉, 黑糖精華, 實況精華, 台v精華, 烤肉精華, Vtuber精華, Vtuber烤肉, 瑪格麗特．溫特斯, 瑪格麗特 V, 瑪格麗特 v, 瑪格麗特 烤肉, 瑪格麗特 精華, 瑪格 烤肉, 瑪格 精華, 瑪麗 精華, 瑪麗 烤肉, 瑪格麗特 台v, 瑪麗初配信, 初配信, 瑪格麗特初配信, 瑪格麗特.溫特斯",2021-09-02,https://i.ytimg.com/vi/eErhLlxIXW8/mqdefault.jpg,FALSE
fc5de960edd8c2b182d7cb359db4b9ac,mwgoLlFU4jE,以為瑪麗大小姐會被你騙嗎~?真是個壞小孩呢~來給你一個5MA囉~【Vtuber精華】【瑪格麗特．溫特斯】,196,UC0DGDzwqkmQ-iSo0CWL3zEw,加鹽黑糖,"加鹽黑糖, 台V烤肉MAN, 台V, 台灣Vtuber, 台灣vtuber, 烤肉, 精華, 台v, 虛擬實況主, 虛擬直播主, vtuber, 中文字幕, 台V精華, 中文精華, 介紹, 烤肉man, 加鹽黑糖烤肉, 黑糖烤肉, 黑糖精華, 實況精華, 台v精華, 烤肉精華, Vtuber精華, Vtuber烤肉, 瑪格麗特．溫特斯, 瑪格麗特 V, 瑪格麗特 v, 瑪格麗特 烤肉, 瑪格麗特 精華, 瑪格 烤肉, 瑪格 精華, 瑪麗 精華, 瑪麗 烤肉, 瑪格麗特 台v, 瑪麗初配信, 初配信, 瑪格麗特初配信, 瑪格麗特.溫特斯",2021-09-02,https://i.ytimg.com/vi/mwgoLlFU4jE/mqdefault.jpg?v=612fa640,FALSE
baa956fe210b3a65ccbefe24e818b241,8jViUT4xkmM,瑪麗可愛的笑容~ 讓觀眾甜到暈過去了【Vtuber精華】【瑪格麗特．溫特斯】,149,UC0DGDzwqkmQ-iSo0CWL3zEw,加鹽黑糖,"台V, 台灣Vtuber, 台灣vtuber, 烤肉, 精華, 台v, 虛擬實況主, 虛擬直播主, vtuber, 中文字幕, 台V精華, 中文精華, 介紹, 烤肉man, 加鹽黑糖, 加鹽黑糖烤肉, 黑糖烤肉, 黑糖精華, 實況精華, 台v精華, 烤肉精華, Vtuber精華, Vtuber烤肉, 瑪格麗特．溫特斯, 瑪格麗特 V, 瑪格麗特 v, 瑪格麗特 烤肉, 瑪格麗特 精華, 瑪格 烤肉, 瑪格 精華, 瑪麗 精華, 瑪麗 烤肉, 瑪格麗特 台v",2021-08-30,https://i.ytimg.com/vi/8jViUT4xkmM/mqdefault.jpg?v=612d2372,FALSE
e2a0fe490c6dcc225cd215b08c577bbe,lusGaC4rz9c,【瑪格麗特溫特斯精華】溫 特 斯 家 族,428,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-06-15,https://i.ytimg.com/vi/lusGaC4rz9c/mqdefault.jpg,FALSE
bafe451ac20ed1757326b66f40ad9a59,UYIjYGyuVJ4,【瑪格麗特溫特斯精華】初配信的神祕預言 原來是這個意思嗎,178,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-06-11,https://i.ytimg.com/vi/UYIjYGyuVJ4/mqdefault.jpg,FALSE
ac17538d76d9fdda21ee0f8f1a75c21a,SoL9PcOT6KA,【瑪格麗特溫特斯】丟了麗,107,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-06-10,https://i.ytimg.com/vi/SoL9PcOT6KA/mqdefault.jpg,FALSE
99ddfff05f865f4b2c20de2fa83df86f,VdH4b9qQs7w,【瑪格麗特溫特斯精華】打算一天開288個台的瑪麗,184,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-05-11,https://i.ytimg.com/vi/VdH4b9qQs7w/mqdefault.jpg,FALSE
08fda58f22116b5384e801f12f4ccc1e,lbkdoUTJk-w,【瑪格麗特溫特斯精華】替蘭蘭的生日準備蛋糕 被誇誇一下直接原地bo炸,68,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-05-08,https://i.ytimg.com/vi/lbkdoUTJk-w/mqdefault.jpg,FALSE
27380f1da74c4790c98d8735fc0e9dd0,JhaZFD1EYvY,【瑪格麗特溫特斯精華】警察先生這裡有戀童,57,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-04-23,https://i.ytimg.com/vi/JhaZFD1EYvY/mqdefault.jpg,FALSE
0fe73ff82c379dc654d701e974abe52c,xGdwyxLmnFE,【瑪格麗特溫特斯精華】我人生有一個李李鈴蘭就已經頭夠痛了,55,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-04-22,https://i.ytimg.com/vi/xGdwyxLmnFE/mqdefault.jpg,FALSE
a64aeb915ec08cdb7bc8a82f10bf90fe,rXJXPCd5g_0,【瑪格麗特溫特斯精華】如果我短命那一定是你們害的,6,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-04-21,https://i.ytimg.com/vi/rXJXPCd5g_0/mqdefault.jpg,FALSE
b38b4c3774e11580992e8e84cca2cdd5,qIDdhBNDB7E,【瑪格麗特溫特斯精華】喝醉後開始宣導防疫安全的奇怪北極狐,135,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-04-18,https://i.ytimg.com/vi/qIDdhBNDB7E/mqdefault.jpg,FALSE
bf92c7ae3b96f2ac2005f89a3fa5956a,XmEfHasGSls,【瑪格麗特溫特斯精華】瑪麗誘拐弟弟穿女裝,173,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2022-04-16,https://i.ytimg.com/vi/XmEfHasGSls/mqdefault.jpg,FALSE
