kp_hash,videoId,title,lengthSeconds,channelId,author,keywords,publish_date,thumbnail,official
53c8bebcbb914e1233ebe96511e0e8cc,https://youtu.be/C9xj1M3ci_I,【新夥伴迫害大會】神稻櫻火要出道LA #李李鈴蘭 #瑪格麗特溫特斯 #悠白 #雲際線,6485,UCxWAL-c1psONO_DfG-cq2iA,李李鈴蘭 / Linglan Lily 【Cloud Horizon所屬】,"鈴蘭, 李李鈴蘭, 悠白, 雲際線, Vtuber, 台V, 浮雲, 桌角, 瑪格麗特, 神稻櫻火, 玲蘭, 鈴嵐, 陵蘭, 李鈴嵐",2021-10-24,https://i.ytimg.com/vi/C9xj1M3ci_I/mqdefault.jpg?v=6171290d,TRUE
cc64f7589aa2317d8889b49a0c7f4ce7,https://youtu.be/LzYe_KxP368,【神稻櫻火】火火的起床鬧鈴,15,UCbi5-wQAHW_5Qanip1AV-Jg,笨兔Bantu,,2021-10-25,https://i.ytimg.com/vi/LzYe_KxP368/mqdefault.jpg,FALSE
837224befad37f54c1fd8297057f4a0d,https://youtu.be/3zj5QLfFBe8,珍珠美人魚—清唱片段【神稻櫻火KAMIINA HARUHI】,140,UCQDfSq2olroE1XXb5wM8GkQ,鍋鍋ポット,"#神稻櫻火, #雲際線, #早安呱呱, #台灣Vtuber, #新人Vtuber, #kamiinaHaruhi, #櫻火",2021-10-29,https://i.ytimg.com/vi/3zj5QLfFBe8/mqdefault.jpg,FALSE
5c687647d7f7d66a77ec0be5b1f2f1df,https://youtu.be/8ZuvqlLO8rU,［#神稻櫻火初配信］淚了(曾沛慈)[神稻櫻火KAMIINA HARUHI],269,UCQDfSq2olroE1XXb5wM8GkQ,鍋鍋ポット,"#櫻火初配信, #台V, #神稻櫻火, #雲際線",2021-10-24,https://i.ytimg.com/vi/8ZuvqlLO8rU/mqdefault.jpg,FALSE
aa6aadde8a011f738982de1c65934ba7,https://youtu.be/IzdTeiirKoE,【神稻櫻火精華】火火一大早就給大家降智打擊 請問這算歌回嗎,203,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2021-11-15,https://i.ytimg.com/vi/IzdTeiirKoE/mqdefault.jpg,FALSE
5984d234d1fb31104b5ab46bad524ad0,https://youtu.be/T4jnxCTBToA,【神稻櫻火精華】火火送大大的5ma給上班上課的狐呱 大家今天也辛苦了,62,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2021-11-08,https://i.ytimg.com/vi/T4jnxCTBToA/mqdefault.jpg,FALSE
a70d9e48a10002d6717de8556df923bb,https://youtu.be/3xlDBMkG3M4,【神稻櫻火精華】火火表演肥宅版本的釘宮三連 結束後還問狐呱們要不要吻他,40,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2021-11-04,https://i.ytimg.com/vi/3xlDBMkG3M4/mqdefault.jpg,FALSE
3843a567d9f214b801e05a6eb81446b1,https://youtu.be/3oJ2H1FjJEY,【神稻櫻火精華】鬼轉話題大師火火  請問狐仙聞起來是什麼味道 火火:外賣 咖哩拌飯,116,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2021-10-31,https://i.ytimg.com/vi/3oJ2H1FjJEY/mqdefault.jpg,FALSE
46e393aa1c8ddc591ea0cc5291f8831b,https://youtu.be/dWkA6F37AUo,【神稻櫻火精華】火火早餐吃太多起司蛋餅 發出了肥宅的聲音 所以今天的企劃是早餐吃到飽,23,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2021-10-29,https://i.ytimg.com/vi/dWkA6F37AUo/mqdefault.jpg,FALSE
52a39be452447b9fe1fc269d7f65f3e9,https://youtu.be/sKkPLAyCmzA,【神稻櫻火精華】不可以瑟瑟 請問大家有找到異次元口袋嗎  我沒看到 然後請問大家有注意到特殊設計嗎,102,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2021-10-26,https://i.ytimg.com/vi/sKkPLAyCmzA/mqdefault.jpg,FALSE
228644be31d2d3b5c0f8ce7c114f5e2f,https://youtu.be/nfRdCk_moQg,【神稻櫻火精華】火火在直播結束前感謝了有如再生父母的事物 沒想到是一本正經的胡說八道,114,UCg62Aw5bxrbkrm2SJ0vKolQ,kiru kiru,,2021-10-24,https://i.ytimg.com/vi/nfRdCk_moQg/mqdefault.jpg,FALSE
